,ID,PERFORMANCE_INDEX,EMISSIONS_CO2,URBAN_CONSUMPTION,DISPLACEMENT,CAPACITY,PISTON_COUNT,BLENDED_CONSUMPTION,GEARBOX_TYPE,OUTPUT,BODY_STYLE,EFFICIENCY_RATIO,YEARS_IN_SERVICE,MILEAGE,HIGHWAY_USAGE,ENERGY_SOURCE,EFFICIENCY_RATING
31,32,76.84858609,226.0,6.9,2.6,5.0,6.0,8.0,Manual,119.0,STATION WAGON - SMALL,1.66,10.0,16.0,8.8,Diesel,34.0
32,33,64.45711901,283.0,18.3,3.6,7.0,6.0,18.3,Automatic,166.0,FULL-SIZE,1.35,10.0,19.0,14.1,Gas,26.0
33,34,62.71836123,178.0,13.9,3.3,5.0,4.0,12.0,Automatic,130.0,SUV - SMALL,1.32,10.0,20.0,7.3,Petrol,32.0
34,35,160.7899467,218.0,10.1,1.3,16.0,4.0,7.7,Manual,83.0,TWO-SEATER,1.25,10.0,17.0,8.2,Petrol,60.0
35,36,108.6873764,191.0,9.1,2.4,14.0,4.0,7.6,Automatic,99.0,SUV - STANDARD,1.32,10.0,18.0,7.2,Petrol,27.0
36,37,101.1497763,228.0,10.9,3.0,5.0,4.0,8.9,Automatic,113.0,COMPACT,1.22,10.0,17.0,5.2,Gas,35.0
37,38,108.2569883,251.0,14.6,4.6,2.0,4.0,10.9,Automatic,157.0,COMPACT,1.47,10.0,18.0,10.1,Gas,21.0
38,39,57.21516111,433.0,30.2,5.8,15.0,8.0,25.4,Automatic,378.0,SUV - STANDARD,1.61,10.0,26.0,15.0,Gas,12.0
39,40,83.28713964,390.0,23.3,4.6,5.0,8.0,19.7,Automatic,367.0,MID-SIZE,1.7,10.0,21.0,14.7,Gas,11.0
40,41,61.60439727,215.0,10.6,3.4,5.0,6.0,10.5,Manual,153.0,MID-SIZE,1.54,10.0,17.0,5.9,Diesel,26.0
41,42,106.0135044,375.0,12.0,3.5,7.0,11.0,21.1,Automatic,236.0,MID-SIZE,1.49,10.0,19.0,13.2,Gas,14.0
42,43,93.57113624,250.0,10.9,3.6,14.0,6.0,12.2,Automatic,162.0,SUV - SMALL,1.25,10.0,19.0,9.3,Petrol,24.0
43,44,106.112987,217.0,8.3,2.6,5.0,4.0,9.8,Manual,92.0,SUV - SMALL,1.34,10.0,21.0,7.9,Petrol,33.0
44,45,71.91960442,270.0,9.7,2.8,8.0,6.0,7.9,Automatic,170.0,FULL-SIZE,1.46,10.0,16.0,9.7,Petrol,24.0
45,46,68.15799169,296.0,18.5,3.5,5.0,6.0,12.5,Automatic,177.0,FULL-SIZE,1.64,10.0,16.0,8.8,Gas,19.0
46,47,125.4026733,232.0,7.4,2.2,5.0,4.0,7.9,Automatic,84.0,COMPACT,1.33,10.0,18.0,7.1,Gas,35.0
47,48,107.2198244,295.0,12.5,3.2,5.0,6.0,10.0,Automatic,111.0,COMPACT,1.52,10.0,24.0,8.5,Petrol,27.0
48,49,80.39261806,339.0,18.4,4.7,17.0,11.0,14.6,Automatic,325.0,SUV - STANDARD,1.67,10.0,19.0,14.6,Gas,16.0
49,50,62.19873633,305.0,17.0,4.4,5.0,8.0,12.9,Automatic,151.0,COMPACT,1.31,10.0,21.0,11.1,Gas,19.0
50,51,83.00564754,318.0,13.2,3.5,5.0,6.0,12.6,Automatic,253.0,COMPACT,1.1,10.0,18.0,19.1,Gas,20.0
51,52,72.19368115,324.0,22.2,5.4,5.0,8.0,13.9,Automatic,269.0,MID-SIZE,1.6,10.0,17.0,9.7,Gas,28.0
52,53,108.756602,211.0,10.6,2.6,5.0,6.0,12.8,Automatic,187.0,COMPACT,1.24,10.0,26.0,8.5,Petrol,28.0
53,54,84.5914471,391.0,30.2,6.9,2.0,8.0,24.5,Manual,378.0,TWO-SEATER,1.49,10.0,24.0,13.9,Petrol,12.0
54,55,63.7021466,402.0,13.4,5.0,5.0,10.0,9.1,Automatic,294.0,PICKUP TRUCK - STANDARD,1.28,10.0,22.0,13.9,Petrol,21.0
55,56,87.24934553,159.0,10.3,2.3,5.0,4.0,5.6,Automatic,84.0,MID-SIZE,1.37,10.0,12.0,4.9,Gas,49.0
56,57,107.7410318,197.0,9.8,2.3,5.0,4.0,9.2,Automatic,108.0,MID-SIZE,1.57,10.0,18.0,5.4,Gas,32.0
57,58,78.79190857,329.0,22.1,3.5,4.0,6.0,14.6,Automatic,301.0,VAN - CARGO,1.55,10.0,29.0,10.8,Petrol,11.0
58,59,82.54248569,218.0,7.1,1.9,5.0,4.0,5.8,Automatic,79.0,COMPACT,1.4,10.0,16.0,7.3,Petrol,30.0
59,60,56.70495472,345.0,22.5,4.4,7.0,8.0,25.3,Automatic,323.0,SUV - STANDARD,1.54,10.0,19.0,16.8,Gas,11.0
60,61,66.32390591,266.0,14.9,3.7,5.0,6.0,11.3,Automatic,378.0,SUV - STANDARD,1.43,10.0,23.0,13.3,Petrol,17.0
61,62,56.60318732,330.0,28.4,6.6,17.0,10.0,21.1,Automatic,378.0,VAN - PASSENGER,1.28,10.0,21.0,15.6,Petrol,12.0
62,63,100.1719318,279.0,16.7,3.2,5.0,6.0,14.9,Automatic,177.0,MID-SIZE,1.39,10.0,17.0,9.0,Petrol,15.0
63,64,64.59084456,315.0,18.4,3.7,5.0,8.0,18.0,Automatic,169.0,FULL-SIZE,1.55,10.0,19.0,9.5,Gas,14.0
64,65,85.70689419,225.0,12.6,2.4,4.0,4.0,10.0,Automatic,98.0,MINICOMPACT,1.25,10.0,18.0,7.9,Gas,28.0
65,66,93.78302904,184.0,6.6,1.6,5.0,4.0,6.7,Automatic,87.0,COMPACT,1.56,10.0,14.0,5.0,Gas,37.0
66,67,96.40090516,239.0,13.0,2.6,4.0,4.0,10.6,Automatic,83.0,MINICOMPACT,1.45,10.0,18.0,9.0,Gas,37.0
67,68,73.44829226,254.0,16.9,3.5,5.0,6.0,15.0,Automatic,154.0,FULL-SIZE,1.35,10.0,20.0,13.3,Gas,15.0
68,69,88.55234473,387.0,17.8,5.3,5.0,8.0,18.4,Automatic,276.0,COMPACT,1.47,10.0,19.0,14.7,Gas,16.0
69,70,69.95715491,328.0,13.4,3.7,5.0,6.0,11.6,Automatic,147.0,MID-SIZE,1.48,10.0,18.0,8.2,Gas,26.0
70,71,58.85344106,263.0,13.2,3.4,7.0,6.0,10.5,Automatic,176.0,PICKUP TRUCK - STANDARD,1.28,10.0,18.0,9.7,Petrol,24.0
71,72,61.75473386,168.0,7.1,3.3,5.0,6.0,16.8,Automatic,267.0,MID-SIZE,1.33,10.0,21.0,7.0,Petrol,36.0
72,73,94.66849229,179.0,6.0,1.5,5.0,4.0,4.8,Manual,73.0,MID-SIZE,1.37,10.0,15.0,6.6,Petrol,60.0
73,74,106.1262308,188.0,15.5,1.8,5.0,4.0,8.7,Automatic,107.0,COMPACT,1.33,10.0,21.0,8.4,Petrol,60.0
74,75,70.43350848,271.0,10.6,2.4,5.0,4.0,9.1,Automatic,117.0,SUV - SMALL,1.42,10.0,22.0,8.1,Petrol,32.0
75,76,55.44423624,389.0,28.2,6.3,5.0,8.0,25.8,Automatic,276.0,VAN - CARGO,1.5,10.0,25.0,9.1,Petrol,15.0
76,77,70.40772515,249.0,10.9,3.3,7.0,6.0,8.5,Automatic,149.0,MINICOMPACT,1.34,10.0,16.0,10.7,Gas,29.0
77,78,126.7542656,283.0,20.2,3.3,5.0,4.0,16.4,Manual,129.0,STATION WAGON - SMALL,1.53,10.0,25.0,9.4,Petrol,35.0
78,79,131.8587188,178.0,8.9,2.5,2.0,4.0,6.0,Automatic,96.0,TWO-SEATER,1.32,10.0,17.0,4.9,Gas,42.0
79,80,84.83712146,300.0,11.7,3.1,5.0,6.0,10.3,Automatic,164.0,MID-SIZE,1.42,10.0,19.0,9.7,Petrol,19.0
80,81,84.26667949,369.0,21.2,5.4,14.0,9.0,13.5,Automatic,248.0,PICKUP TRUCK - STANDARD,0.87,10.0,26.0,15.3,Petrol,16.0
81,82,96.89414669,266.0,21.6,4.5,5.0,8.0,18.6,Automatic,257.0,SUV - SMALL,1.32,10.0,22.0,15.6,Petrol,17.0
82,84,71.81759444,280.0,13.1,3.0,5.0,4.0,11.5,Manual,106.0,SUV - SMALL,1.41,10.0,21.0,10.5,Petrol,29.0
83,85,71.02674822,292.0,20.3,4.6,4.0,11.0,21.0,Automatic,204.0,SUV - STANDARD,1.54,10.0,19.0,13.5,Gas,18.0
84,86,77.261515,202.0,13.8,2.2,5.0,4.0,6.1,Automatic,102.0,COMPACT,1.2,10.0,17.0,8.5,Petrol,36.0
85,87,89.36818845,182.0,6.6,3.2,5.0,4.0,9.0,Automatic,120.0,MID-SIZE,1.3,10.0,19.0,6.2,Petrol,30.0
86,88,104.5242113,222.0,7.9,1.8,5.0,4.0,11.0,Automatic,113.0,MID-SIZE,1.41,10.0,21.0,6.6,Petrol,43.0
87,90,81.32745173,191.0,8.0,1.8,14.0,4.0,7.8,Automatic,98.0,COMPACT,1.33,10.0,20.0,8.6,Petrol,40.0
88,91,64.83641586,191.0,11.4,3.7,5.0,6.0,12.2,Automatic,187.0,FULL-SIZE,1.72,10.0,17.0,10.7,Gas,23.0
89,92,108.7256276,166.0,7.0,1.8,5.0,4.0,8.4,Automatic,109.0,COMPACT,1.45,10.0,19.0,7.0,Gas,45.0
90,93,99.38808741,157.0,6.3,1.9,5.0,4.0,6.5,Automatic,93.0,COMPACT,1.31,10.0,19.0,4.9,Petrol,48.0
91,95,68.60188789,289.0,12.4,2.5,5.0,6.0,13.0,Automatic,179.0,MID-SIZE,1.51,10.0,18.0,10.4,Petrol,23.0
92,96,90.4291379,193.0,8.8,1.5,5.0,4.0,10.4,Automatic,115.0,MID-SIZE,0.93,10.0,17.0,8.6,Petrol,30.0
93,97,58.9622754,367.0,11.9,3.6,13.0,8.0,12.5,Automatic,298.0,VAN - CARGO,1.08,10.0,19.0,13.3,Petrol,27.0
94,98,82.62883248,227.0,11.8,3.4,5.0,4.0,9.6,Automatic,113.0,SUV - SMALL,1.09,10.0,18.0,8.4,Petrol,28.0
95,99,71.67814486,366.0,20.5,4.0,5.0,10.0,16.3,Automatic,249.0,MINIVAN,1.6,10.0,21.0,11.3,Gas,16.0
96,100,105.6089111,222.0,25.0,5.4,2.0,8.0,18.6,Manual,281.0,TWO-SEATER,1.36,10.0,21.0,12.9,Gas,17.0
97,101,59.73769066,210.0,10.7,3.2,7.0,6.0,9.2,Automatic,144.0,SPECIAL PURPOSE VEHICLE,1.32,10.0,17.0,10.2,Gas,29.0
98,102,94.96587939,197.0,6.8,3.0,5.0,6.0,7.2,Automatic,86.0,COMPACT,1.47,10.0,16.0,6.3,Diesel,39.0
99,103,103.546638,237.0,12.7,2.7,4.0,4.0,6.0,Manual,83.0,MINICOMPACT,1.28,10.0,20.0,8.5,Gas,35.0
100,104,81.08926859,296.0,17.5,3.6,5.0,8.0,12.7,Automatic,159.0,MID-SIZE,1.39,10.0,18.0,8.3,Gas,25.0
101,105,96.63468974,176.0,7.6,1.6,15.0,4.0,8.6,Automatic,92.0,MID-SIZE,0.97,10.0,12.0,6.0,Petrol,60.0
102,106,94.79997562,246.0,11.6,4.6,7.0,8.0,12.4,Automatic,352.0,SUV - STANDARD,1.38,10.0,23.0,15.1,Petrol,18.0
103,107,63.44715821,237.0,20.0,5.5,7.0,12.0,14.9,Automatic,292.0,MID-SIZE,1.59,10.0,16.0,7.2,Gas,23.0
104,108,66.56902344,236.0,10.7,3.5,5.0,6.0,11.0,Automatic,150.0,SUV - STANDARD,1.33,10.0,24.0,10.5,Gas,15.0
105,109,75.68234718,300.0,16.7,4.4,5.0,6.0,18.5,Automatic,364.0,VAN - CARGO,1.28,10.0,23.0,9.0,Petrol,18.0
106,110,66.44311937,300.0,8.9,2.4,5.0,4.0,7.6,Automatic,115.0,FULL-SIZE,1.43,10.0,17.0,8.8,Petrol,22.0
107,111,74.46435936,204.0,5.9,2.3,13.0,4.0,6.6,Automatic,110.0,COMPACT,1.36,10.0,18.0,7.0,Petrol,57.0
108,112,77.04869588,377.0,11.5,2.7,5.0,6.0,23.8,Automatic,182.0,SUV - STANDARD,1.55,10.0,21.0,13.6,Petrol,16.0
109,113,90.15057621,218.0,8.2,2.3,5.0,4.0,8.2,Automatic,100.0,MID-SIZE,1.36,10.0,12.0,4.9,Petrol,30.0
110,114,57.64811289,168.0,8.4,1.5,5.0,4.0,5.3,Manual,74.0,MINICOMPACT,1.35,10.0,14.0,5.6,Petrol,43.0
111,115,66.91494132,272.0,12.7,3.5,4.0,6.0,9.0,Automatic,171.0,MID-SIZE,1.43,10.0,19.0,9.8,Petrol,24.0
112,116,64.48343912,318.0,13.2,5.6,5.0,11.0,12.7,Automatic,266.0,COMPACT,1.56,10.0,17.0,14.8,Gas,22.0
113,117,94.68318802,199.0,10.7,2.3,5.0,4.0,10.2,Automatic,110.0,SUV - STANDARD,1.34,10.0,17.0,7.5,Petrol,19.0
114,118,87.98418305,178.0,15.0,1.8,5.0,4.0,8.2,Automatic,102.0,MID-SIZE,1.33,10.0,21.0,8.6,Petrol,26.0
115,119,60.7876334,403.0,19.6,5.1,4.0,8.0,12.8,Automatic,241.0,MINICOMPACT,1.43,10.0,20.0,13.8,Gas,19.0
116,120,90.20253563,310.0,16.1,3.9,16.0,4.0,13.2,Automatic,288.0,STATION WAGON - MID-SIZE,1.19,10.0,20.0,10.2,Petrol,24.0
117,121,62.66952821,214.0,8.7,2.9,5.0,4.0,13.2,Automatic,175.0,SUV - SMALL,0.97,10.0,18.0,9.7,Petrol,24.0
118,122,55.84103572,355.0,14.2,6.2,5.0,8.0,12.1,Automatic,301.0,COMPACT,1.6,10.0,26.0,14.2,Gas,16.0
119,123,90.52327334,242.0,20.4,2.7,7.0,6.0,14.1,Automatic,172.0,SUV - STANDARD,1.32,10.0,21.0,10.6,Petrol,23.0
120,124,79.16314473,264.0,23.7,5.8,14.0,8.0,18.9,Automatic,278.0,PICKUP TRUCK - STANDARD,1.61,10.0,20.0,12.2,Petrol,19.0
121,125,93.18810147,200.0,11.0,1.8,4.0,4.0,8.1,Automatic,105.0,MINICOMPACT,1.42,10.0,19.0,9.7,Gas,30.0
122,126,75.86482653,293.0,10.5,2.3,5.0,4.0,9.9,Manual,109.0,SUBCOMPACT,1.58,10.0,16.0,6.9,Gas,26.0
123,127,95.72903427,174.0,9.1,1.7,4.0,4.0,9.0,Automatic,92.0,COMPACT,1.18,10.0,16.0,7.8,Gas,33.0
124,128,63.83768251,447.0,17.9,4.1,3.0,8.0,18.5,Automatic,266.0,MID-SIZE,1.55,10.0,23.0,15.2,Gas,16.0
125,129,80.56235844,254.0,12.9,5.0,5.0,11.0,13.4,Automatic,337.0,PICKUP TRUCK - STANDARD,1.39,10.0,22.0,18.1,Petrol,24.0
126,130,82.97533769,217.0,13.5,1.9,14.0,4.0,8.7,Automatic,98.0,SPECIAL PURPOSE VEHICLE,1.51,10.0,25.0,8.2,Petrol,32.0
127,131,56.53389608,297.0,14.9,3.7,5.0,6.0,10.9,Automatic,118.0,FULL-SIZE,1.62,10.0,17.0,10.0,Gas,27.0
128,132,67.65450291,265.0,13.7,1.7,4.0,6.0,10.7,Automatic,166.0,MINICOMPACT,1.36,10.0,17.0,9.7,Gas,33.0
129,133,54.31051864,236.0,15.1,4.0,5.0,8.0,8.6,Automatic,173.0,MID-SIZE,1.55,10.0,17.0,12.8,Gas,20.0
130,134,75.01863025,252.0,10.6,2.8,5.0,6.0,12.5,Automatic,102.0,STATION WAGON - SMALL,1.07,10.0,25.0,8.3,Petrol,15.0
131,135,48.16407675,417.0,26.6,5.1,2.0,8.0,17.2,Automatic,258.0,MID-SIZE,1.48,10.0,21.0,18.9,Gas,14.0
132,136,122.1374694,225.0,8.0,1.5,2.0,4.0,8.1,Manual,107.0,TWO-SEATER,1.32,10.0,18.0,6.0,Gas,37.0
133,137,48.94245907,251.0,12.6,3.6,7.0,6.0,15.3,Automatic,147.0,SUV - STANDARD,1.46,10.0,19.0,13.0,Gas,22.0
134,138,81.36371894,295.0,12.8,1.8,5.0,4.0,9.4,Automatic,86.0,SUV - SMALL,1.34,10.0,18.0,8.7,Gas,27.0
135,139,64.06876706,252.0,11.5,1.8,5.0,4.0,7.9,Manual,83.0,COMPACT,1.49,10.0,17.0,5.3,Petrol,41.0
136,140,102.6840392,410.0,20.4,6.0,13.0,11.0,16.8,Automatic,318.0,VAN - CARGO,1.29,10.0,18.0,8.7,Petrol,21.0
137,141,79.2468137,225.0,6.7,1.7,2.0,4.0,8.2,Automatic,83.0,TWO-SEATER,1.25,10.0,15.0,8.2,Gas,35.0
138,142,91.78883833,257.0,21.2,4.9,15.0,10.0,21.1,Automatic,378.0,VAN - CARGO,1.5,10.0,23.0,15.4,Petrol,19.0
139,143,85.47013825,261.0,11.0,2.1,5.0,6.0,8.9,Manual,76.0,COMPACT,1.48,10.0,16.0,7.7,Gas,36.0
140,144,74.09966239,331.0,12.8,6.8,7.0,8.0,12.0,Automatic,219.0,SUV - STANDARD,1.43,10.0,22.0,9.5,Gas,19.0
141,145,63.57557336,350.0,19.6,3.3,5.0,6.0,13.9,Automatic,174.0,SUV - STANDARD,1.45,10.0,17.0,14.8,Gas,28.0
142,146,98.70089962,238.0,11.5,2.0,4.0,4.0,8.6,Automatic,102.0,MINICOMPACT,1.23,10.0,18.0,7.1,Gas,29.0
143,147,72.77436119,268.0,20.7,3.8,7.0,6.0,19.1,Automatic,170.0,SUV - STANDARD,1.39,10.0,21.0,10.4,Petrol,15.0
144,148,78.84897694,322.0,12.6,3.3,15.0,8.0,14.2,Automatic,177.0,TWO-SEATER,1.31,10.0,18.0,9.8,Gas,30.0
145,149,90.98663015,194.0,9.5,2.4,5.0,4.0,6.7,Automatic,79.0,SUV - SMALL,1.17,10.0,15.0,5.1,Petrol,59.0
146,150,77.84262167,321.0,14.0,5.5,13.0,4.0,14.1,Automatic,89.0,COMPACT,1.36,10.0,21.0,7.9,Petrol,21.0
147,151,59.08920287,453.0,18.3,5.1,5.0,8.0,20.9,Manual,258.0,TWO-SEATER,1.68,10.0,27.0,14.5,Gas,11.0
148,152,57.79169217,375.0,30.2,5.5,18.0,8.0,20.2,Automatic,360.0,VAN - PASSENGER,1.46,10.0,22.0,16.9,Petrol,11.0
149,153,87.903454,200.0,7.3,3.4,5.0,4.0,14.4,Automatic,111.0,COMPACT,1.44,10.0,17.0,8.7,Gas,39.0
150,154,67.43196358,237.0,15.9,2.0,15.0,4.0,9.0,Automatic,105.0,COMPACT,1.42,10.0,17.0,8.1,Petrol,26.0
151,156,69.62883097,281.0,12.0,2.0,5.0,4.0,8.1,Manual,89.0,SUV - SMALL,1.25,10.0,21.0,9.6,Petrol,27.0
152,157,104.2724543,271.0,14.2,2.3,4.0,4.0,9.0,Manual,97.0,MINICOMPACT,1.35,10.0,18.0,7.8,Gas,30.0
153,158,105.4285367,394.0,14.8,4.0,2.0,8.0,18.9,Automatic,220.0,TWO-SEATER,1.45,10.0,21.0,14.1,Gas,13.0
154,159,97.77128009,214.0,12.7,3.3,2.0,4.0,7.2,Manual,98.0,MID-SIZE,1.32,10.0,22.0,6.6,Petrol,34.0
155,160,57.30379295,379.0,19.2,4.3,5.0,8.0,22.4,Automatic,265.0,MID-SIZE,1.47,10.0,19.0,10.3,Petrol,19.0
156,161,54.76172058,331.0,23.4,3.8,15.0,6.0,25.8,Automatic,178.0,MINIVAN,1.38,10.0,25.0,13.5,Petrol,11.0
157,162,112.322522,255.0,12.4,3.1,5.0,4.0,13.5,Automatic,119.0,MID-SIZE,1.47,10.0,18.0,8.7,Petrol,30.0
158,163,66.42287988,380.0,29.9,5.3,5.0,8.0,18.6,Automatic,378.0,MID-SIZE,1.44,10.0,21.0,13.9,Petrol,11.0
159,164,59.5900411,350.0,17.6,4.5,2.0,8.0,20.1,Automatic,255.0,TWO-SEATER,1.64,10.0,19.0,13.0,Gas,23.0
160,165,92.93298188,191.0,7.6,1.6,14.0,4.0,10.3,Automatic,113.0,MID-SIZE,1.36,10.0,15.0,5.3,Petrol,60.0
161,166,60.19922355,262.0,12.5,3.5,5.0,6.0,10.1,Automatic,158.0,FULL-SIZE,1.51,10.0,16.0,9.6,Gas,12.0
162,167,68.23735621,339.0,11.0,3.2,4.0,6.0,12.2,Automatic,185.0,MINICOMPACT,1.39,10.0,19.0,11.4,Petrol,20.0
163,168,53.24260937,322.0,16.2,3.7,13.0,6.0,21.6,Automatic,218.0,PICKUP TRUCK - SMALL,1.36,10.0,19.0,12.8,Petrol,17.0
164,169,52.42987495,373.0,23.5,5.5,2.0,8.0,25.1,Automatic,244.0,PICKUP TRUCK - STANDARD,1.36,10.0,22.0,12.2,Petrol,17.0
165,170,76.31463538,184.0,18.6,4.7,7.0,8.0,21.2,Automatic,248.0,SUV - STANDARD,1.67,10.0,20.0,15.1,Gas,11.0
166,171,103.9880877,206.0,10.9,1.7,13.0,4.0,8.8,Automatic,85.0,MINICOMPACT,1.32,10.0,15.0,7.8,Petrol,30.0
167,172,71.98811237,394.0,15.3,4.5,7.0,8.0,18.5,Automatic,241.0,PICKUP TRUCK - STANDARD,1.35,10.0,23.0,14.8,Petrol,16.0
168,173,59.06551725,390.0,23.6,6.0,17.0,8.0,25.7,Automatic,371.0,VAN - PASSENGER,1.45,10.0,22.0,15.7,Petrol,12.0
169,174,54.49946699,357.0,30.2,6.5,13.0,8.0,25.8,Automatic,371.0,VAN - PASSENGER,1.4,10.0,24.0,19.9,Petrol,13.0
170,175,99.67665276,308.0,15.2,3.4,7.0,4.0,9.5,Automatic,103.0,MID-SIZE,1.26,10.0,17.0,8.5,Petrol,32.0
171,176,71.12794576,286.0,14.3,3.5,7.0,6.0,10.1,Automatic,164.0,SUV - STANDARD,1.57,10.0,24.0,10.0,Petrol,18.0
172,177,146.4296359,220.0,11.1,2.3,5.0,4.0,6.2,Manual,72.0,COMPACT,1.58,10.0,15.0,4.9,Petrol,23.0
173,178,49.72554744,268.0,7.5,3.5,5.0,6.0,10.7,Automatic,153.0,MID-SIZE,0.98,10.0,16.0,7.2,Petrol,31.0
174,179,58.16369844,247.0,11.3,3.4,5.0,6.0,9.4,Automatic,159.0,FULL-SIZE,1.47,10.0,17.0,8.7,Petrol,34.0
175,180,66.67881601,299.0,12.6,3.3,7.0,6.0,14.8,Automatic,176.0,MID-SIZE,1.47,10.0,16.0,10.0,Gas,15.0
176,181,70.25874889,272.0,9.1,3.4,5.0,6.0,10.1,Automatic,246.0,VAN - CARGO,1.47,10.0,24.0,8.6,Petrol,32.0
177,182,165.5885782,193.0,9.8,1.9,12.0,4.0,8.1,Automatic,115.0,COMPACT,0.97,10.0,20.0,6.0,Petrol,56.0
