ID,PERFORMANCE_INDEX,EMISSIONS_CO2,URBAN_CONSUMPTION,DISPLACEMENT,CAPACITY,PISTON_COUNT,BLENDED_CONSUMPTION,GEARBOX_TYPE,OUTPUT,BODY_STYLE,EFFICIENCY_RATIO,YEARS_IN_SERVICE,MILEAGE,HIGHWAY_USAGE,ENERGY_SOURCE,EFFICIENCY_RATING
128,63.83768251,447,17.9,4.1,3,8,18.5,Automatic,266,MID-SIZE,1.55,10,23,15.2,Gas,16
129,80.56235844,254,12.9,5,5,11,13.4,Automatic,337,PICKUP TRUCK - STANDARD,1.39,10,22,18.1,Petrol,24
130,82.97533769,217,13.5,1.9,14,4,8.7,Automatic,98,SPECIAL PURPOSE VEHICLE,1.51,10,25,8.2,Petrol,32
131,56.53389608,297,14.9,3.7,5,6,10.9,Automatic,118,FULL-SIZE,1.62,10,17,10,Gas,27
132,67.65450291,265,13.7,1.7,4,6,10.7,Automatic,166,MINICOMPACT,1.36,10,17,9.7,Gas,33
133,54.31051864,236,15.1,4,5,8,8.6,Automatic,173,MID-SIZE,1.55,10,17,12.8,Gas,20
134,75.01863025,252,10.6,2.8,5,6,12.5,Automatic,102,STATION WAGON - SMALL,1.07,10,25,8.3,Petrol,15
135,48.16407675,417,26.6,5.1,2,8,17.2,Automatic,258,MID-SIZE,1.48,10,21,18.9,Gas,14
136,122.1374694,225,8,1.5,2,4,8.1,Manual,107,TWO-SEATER,1.32,10,18,6,Gas,37
137,48.94245907,251,12.6,3.6,7,6,15.3,Automatic,147,SUV - STANDARD,1.46,10,19,13,Gas,22
138,81.36371894,295,12.8,1.8,5,4,9.4,Automatic,86,SUV - SMALL,1.34,10,18,8.7,Gas,27
139,64.06876706,252,11.5,1.8,5,4,7.9,Manual,83,COMPACT,1.49,10,17,5.3,Petrol,41
140,102.6840392,410,20.4,6,13,11,16.8,Automatic,318,VAN - CARGO,1.29,10,18,8.7,Petrol,21
141,79.2468137,225,6.7,1.7,2,4,8.2,Automatic,83,TWO-SEATER,1.25,10,15,8.2,Gas,35
142,91.78883833,257,21.2,4.9,15,10,21.1,Automatic,378,VAN - CARGO,1.5,10,23,15.4,Petrol,19
143,85.47013825,261,11,2.1,5,6,8.9,Manual,76,COMPACT,1.48,10,16,7.7,Gas,36
144,74.09966239,331,12.8,6.8,7,8,12,Automatic,219,SUV - STANDARD,1.43,10,22,9.5,Gas,19
145,63.57557336,350,19.6,3.3,5,6,13.9,Automatic,174,SUV - STANDARD,1.45,10,17,14.8,Gas,28
146,98.70089962,238,11.5,2,4,4,8.6,Automatic,102,MINICOMPACT,1.23,10,18,7.1,Gas,29
147,72.77436119,268,20.7,3.8,7,6,19.1,Automatic,170,SUV - STANDARD,1.39,10,21,10.4,Petrol,15
148,78.84897694,322,12.6,3.3,15,8,14.2,Automatic,177,TWO-SEATER,1.31,10,18,9.8,Gas,30
149,90.98663015,194,9.5,2.4,5,4,6.7,Automatic,79,SUV - SMALL,1.17,10,15,5.1,Petrol,59
150,77.84262167,321,14,5.5,13,4,14.1,Automatic,89,COMPACT,1.36,10,21,7.9,Petrol,21
151,59.08920287,453,18.3,5.1,5,8,20.9,Manual,258,TWO-SEATER,1.68,10,27,14.5,Gas,11
152,57.79169217,375,30.2,5.5,18,8,20.2,Automatic,360,VAN - PASSENGER,1.46,10,22,16.9,Petrol,11
153,87.903454,200,7.3,3.4,5,4,14.4,Automatic,111,COMPACT,1.44,10,17,8.7,Gas,39
154,67.43196358,237,15.9,2,15,4,9,Automatic,105,COMPACT,1.42,10,17,8.1,Petrol,26
156,69.62883097,281,12,2,5,4,8.1,Manual,89,SUV - SMALL,1.25,10,21,9.6,Petrol,27
157,104.2724543,271,14.2,2.3,4,4,9,Manual,97,MINICOMPACT,1.35,10,18,7.8,Gas,30
158,105.4285367,394,14.8,4,2,8,18.9,Automatic,220,TWO-SEATER,1.45,10,21,14.1,Gas,13
159,97.77128009,214,12.7,3.3,2,4,7.2,Manual,98,MID-SIZE,1.32,10,22,6.6,Petrol,34
160,57.30379295,379,19.2,4.3,5,8,22.4,Automatic,265,MID-SIZE,1.47,10,19,10.3,Petrol,19
161,54.76172058,331,23.4,3.8,15,6,25.8,Automatic,178,MINIVAN,1.38,10,25,13.5,Petrol,11
162,112.322522,255,12.4,3.1,5,4,13.5,Automatic,119,MID-SIZE,1.47,10,18,8.7,Petrol,30
163,66.42287988,380,29.9,5.3,5,8,18.6,Automatic,378,MID-SIZE,1.44,10,21,13.9,Petrol,11
164,59.5900411,350,17.6,4.5,2,8,20.1,Automatic,255,TWO-SEATER,1.64,10,19,13,Gas,23
165,92.93298188,191,7.6,1.6,14,4,10.3,Automatic,113,MID-SIZE,1.36,10,15,5.3,Petrol,60
166,60.19922355,262,12.5,3.5,5,6,10.1,Automatic,158,FULL-SIZE,1.51,10,16,9.6,Gas,12
167,68.23735621,339,11,3.2,4,6,12.2,Automatic,185,MINICOMPACT,1.39,10,19,11.4,Petrol,20
168,53.24260937,322,16.2,3.7,13,6,21.6,Automatic,218,PICKUP TRUCK - SMALL,1.36,10,19,12.8,Petrol,17
169,52.42987495,373,23.5,5.5,2,8,25.1,Automatic,244,PICKUP TRUCK - STANDARD,1.36,10,22,12.2,Petrol,17
170,76.31463538,184,18.6,4.7,7,8,21.2,Automatic,248,SUV - STANDARD,1.67,10,20,15.1,Gas,11
171,103.9880877,206,10.9,1.7,13,4,8.8,Automatic,85,MINICOMPACT,1.32,10,15,7.8,Petrol,30
172,71.98811237,394,15.3,4.5,7,8,18.5,Automatic,241,PICKUP TRUCK - STANDARD,1.35,10,23,14.8,Petrol,16
173,59.06551725,390,23.6,6,17,8,25.7,Automatic,371,VAN - PASSENGER,1.45,10,22,15.7,Petrol,12
174,54.49946699,357,30.2,6.5,13,8,25.8,Automatic,371,VAN - PASSENGER,1.4,10,24,19.9,Petrol,13
175,99.67665276,308,15.2,3.4,7,4,9.5,Automatic,103,MID-SIZE,1.26,10,17,8.5,Petrol,32
176,71.12794576,286,14.3,3.5,7,6,10.1,Automatic,164,SUV - STANDARD,1.57,10,24,10,Petrol,18
177,146.4296359,220,11.1,2.3,5,4,6.2,Manual,72,COMPACT,1.58,10,15,4.9,Petrol,23
178,49.72554744,268,7.5,3.5,5,6,10.7,Automatic,153,MID-SIZE,0.98,10,16,7.2,Petrol,31
179,58.16369844,247,11.3,3.4,5,6,9.4,Automatic,159,FULL-SIZE,1.47,10,17,8.7,Petrol,34
180,66.67881601,299,12.6,3.3,7,6,14.8,Automatic,176,MID-SIZE,1.47,10,16,10,Gas,15
181,70.25874889,272,9.1,3.4,5,6,10.1,Automatic,246,VAN - CARGO,1.47,10,24,8.6,Petrol,32
182,165.5885782,193,9.8,1.9,12,4,8.1,Automatic,115,COMPACT,0.97,10,20,6,Petrol,56
183,69.77369893,388,25.3,5.1,7,8,21,Automatic,228,SUV - STANDARD,1.29,10,24,18.3,Petrol,15
184,87.80687222,198,9,2.2,5,4,6.1,Automatic,85,COMPACT,1.38,10,18,7.8,Gas,41
185,97.38282967,281,19,3.1,5,4,10.3,Automatic,115,SUV - SMALL,1.34,10,21,9,Petrol,29
186,178.8790636,308,10.4,1.5,14,4,8.1,Automatic,78,COMPACT,1.25,10,17,6.2,Gas,31
187,78.21104939,297,11.2,5.5,4,8,13.4,Automatic,274,SUV - STANDARD,1.56,10,19,11.1,Gas,19
188,143.8747875,211,9,1.9,17,4,10.4,Automatic,99,PICKUP TRUCK - STANDARD,1.23,10,19,7.9,Petrol,28
189,77.84693318,307,11.1,3.4,5,6,10.9,Automatic,171,FULL-SIZE,1.4,10,19,9.4,Gas,16
190,98.78847447,283,21.8,2.4,5,6,12.1,Automatic,167,SUBCOMPACT,1.3,10,18,9,Gas,31
191,80.8100283,265,13.2,2.7,5,6,8.7,Automatic,157,FULL-SIZE,1.64,10,20,9.3,Petrol,18
192,65.23572977,298,30.2,6,16,8,25.8,Automatic,378,VAN - PASSENGER,1.6,10,20,12.3,Petrol,12
193,93.88516175,182,21.2,2.5,5,4,8.5,Automatic,111,MID-SIZE,1.5,10,21,9.8,Petrol,23
194,63.65947736,280,18.2,5.3,7,6,13,Automatic,252,SUV - SMALL,1.49,10,19,10,Gas,20
195,60.85396101,270,15.3,3.7,5,6,11.7,Automatic,296,FULL-SIZE,1.43,10,16,8.5,Gas,24
196,102.4634097,278,13.2,5.8,3,6,11.7,Manual,103,TWO-SEATER,1.5,10,20,8.9,Gas,21
197,120.8297768,161,6.9,1.6,5,4,7.9,Automatic,99,STATION WAGON - MID-SIZE,1.37,10,16,5.9,Petrol,42
198,91.81399805,310,10.2,3.4,5,6,11.1,Automatic,179,FULL-SIZE,1.51,10,19,8.6,Petrol,33
199,67.45155428,281,8.7,3.3,7,6,12,Automatic,145,SUV - STANDARD,1.55,10,17,11.5,Gas,21
200,62.8046393,265,8.7,3.4,5,6,7.7,Automatic,158,MID-SIZE,1.54,10,16,12.5,Gas,30
201,78.57245523,356,13.8,4.4,2,8,10.7,Manual,156,TWO-SEATER,1.42,10,17,11.8,Gas,23
202,65.97869188,294,15.8,3.9,5,6,12.7,Automatic,167,COMPACT,1.4,10,19,13.9,Gas,20
203,73.61716474,273,17.3,3.5,7,6,19.7,Automatic,181,SUV - STANDARD,1.21,10,19,10.3,Petrol,21
204,119.1593912,214,9.4,3.1,15,4,10.8,Automatic,89,SUV - SMALL,1.23,10,18,11,Gas,32
205,94.01055451,299,13.8,3.7,7,10,19.7,Automatic,322,SUV - STANDARD,1.15,10,23,17.7,Petrol,19
206,62.09391435,251,14.3,2.3,14,4,12.1,Automatic,109,MID-SIZE,1.42,10,18,11.5,Petrol,31
207,105.6601846,271,10.3,5.6,5,11,11.7,Automatic,166,COMPACT,1.4,10,17,10.4,Petrol,22
208,162.3575741,274,8.6,1.1,13,4,9,Automatic,95,SUV - SMALL,1.46,10,20,5.4,Petrol,53
209,67.7985703,321,14.9,5.3,5,4,15.6,Automatic,252,PICKUP TRUCK - STANDARD,1.3,10,22,13.9,Petrol,31
210,111.8749162,269,10.8,2.9,4,4,7.8,Automatic,85,MINICOMPACT,1.28,10,18,6.4,Gas,28
211,65.45083622,198,8.7,3.4,5,6,7.9,Automatic,152,COMPACT,1.28,10,17,10,Petrol,27
212,55.33976045,296,18,5.8,5,10,18.4,Automatic,295,MID-SIZE,1.67,10,20,10.8,Petrol,11
213,63.18493922,227,9.5,3.5,5,6,8.2,Automatic,135,PICKUP TRUCK - STANDARD,1.26,10,20,9.1,Petrol,25
214,68.23663442,281,9.6,1.8,4,4,9.8,Manual,83,TWO-SEATER,1.38,10,18,8.4,Gas,29
215,94.24696967,203,16.3,2.4,5,4,12.9,Automatic,75,MID-SIZE,1.39,10,18,8.5,Petrol,24
216,59.75725655,311,18.5,3.4,5,6,8.8,Automatic,151,MID-SIZE,1.58,10,17,9.1,Gas,20
217,109.7019887,248,14.1,2.9,15,6,7.7,Automatic,89,SPECIAL PURPOSE VEHICLE,1.17,10,20,11.6,Petrol,21
219,75.4367839,243,8.5,1,5,4,7.3,Automatic,90,COMPACT,1.46,10,16,8,Petrol,30
220,83.92350024,183,9.3,1.5,16,4,8.9,Manual,91,STATION WAGON - MID-SIZE,1.31,10,17,7.3,Petrol,38
221,60.61485318,323,18.8,3.7,7,6,12.6,Automatic,163,SUV - STANDARD,1.39,10,17,10.8,Petrol,21
222,81.47524629,199,9.9,2.9,8,6,8.1,Automatic,90,SUV - STANDARD,1.33,10,16,11.9,Petrol,23
223,101.4751413,256,9.4,2.9,5,5,11.4,Automatic,102,MID-SIZE,1.5,10,19,7.9,Gas,30
224,91.16579415,212,21.1,5.5,5,8,9.4,Automatic,246,MID-SIZE,1.58,10,16,6.2,Diesel,27
225,61.31243138,274,10.9,3.5,5,8,9.7,Automatic,189,PICKUP TRUCK - STANDARD,1.38,10,24,16.3,Petrol,19
226,62.07707173,235,13.2,4,4,8,9,Automatic,153,SUBCOMPACT,1.38,10,18,9.2,Gas,26
227,92.94982261,243,12,2.1,5,4,7.8,Automatic,109,COMPACT,1.5,10,16,8.9,Petrol,36
228,95.52121234,296,8.4,2.8,4,4,7.2,Automatic,88,SUBCOMPACT,1.3,10,18,9.9,Gas,28
229,100.7144626,363,27.1,6.4,14,8,25.7,Automatic,378,VAN - PASSENGER,1.52,10,26,20.5,Petrol,11
230,109.2002834,251,10,3.2,14,6,10.8,Automatic,157,SUV - SMALL,1.37,10,21,8.9,Petrol,21
231,112.8002772,205,9.2,1.5,4,4,9.5,Automatic,75,STATION WAGON - SMALL,0.92,10,21,9.8,Petrol,56
232,58.46488856,208,5.4,1.6,5,4,9.2,Automatic,96,MID-SIZE,1.47,10,18,6.9,Diesel,57
233,50.47301763,236,13.2,1.3,14,4,10.8,Manual,106,COMPACT,1.69,10,17,8,Gas,33
